ID,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_Mean,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume
8691106,705.3203369140624,1552.4198974609376,4285421835.300249,7.112925724011206,304.226318359375,4.4221995353593595,2023.6353759765625,1223.5981531340599,247.55572647480233,1298.02783203125,77.39725494384766,1946.2381210327148,144.0067950201395,1269.9920778471806,-1.1845992888764192,4285421835.300249,0.009574272035337733,115687.43744151643,22861.603752188224,165558700.86754867,-550483.3823869684,6004.7115420998225,693.9233340646869,0.7905749651809023,18.34420483582879,5.574264435736811,344.92242814213716,0.134302264236097,0.06778936696317447,0.9891547147709601,0.9342978826328422,-0.3838317213335364,0.9977768448630825,0.07201683204469644,146.7414676699649,0.00042059018416620343,11.420450846173285,0.8608118647963722,0.0016037266516362597,293.48293533993086,7.8862858609600615,1674.658719041131,8.153167832595699,1345.1332329695144,0.5062601554269908,0.5312918531785362,25.43884079789236,1807.9809715752158,22673.604064734664,2.634173880316146,63647.88859616109,0.0007295215143409109,0.0006015451578181873,0.733947957178104,16217.977011353658,0.0005759556254772211,18.853107344632768,0.008876227563386426,1971.6803884225124,22227.777777777777,1.996704331450094,47203.28813559322,0.0008094530712728573,0.0007296430471700491,1494.0913370998117,0.7034328329095159,0.8638103511963479,18979.864415528606,0.000715107925255191,7.895611075017079,0.7993978170869401,0.43184939583843157,24.861696187736207,0.009521898363157245,1820.5074055180655,22637.63027581751,1.053331715012799,23956.10769975883,0.0006151972801892119,0.0006106437733324802,7.215044303896577,2521.7464056235212,0.9657762654079804,0.9826872412495297,0.017720000389709663,0.9868969866663775,22313.96496818872,0.0006095147669453855,0.004835740010345485,0.00494794267256993,219694.38134174864,0.698504681324503,117.20056390893298,0.5293371146952549,0.42741419812440296,12.911595652358082,30.208625986261783,28.653097563788805,30.805843601498726,22.67156809750927,31.96873472629156,2632.4166666666665,15.990546918475912,0.4980049281475187,1851.3430719480666,0.703286487808313,2657.0
8422734,662.7648803710938,1510.328662109375,16252122456.298607,7.148089779991985,293.7244873046875,4.316386625958142,2302.556640625,1154.177301928466,239.58869824301775,1200.708984375,48.432029724121094,2254.124610900879,133.65083584580555,1202.62396130382,-1.000488089578491,16252122456.298607,0.009292923334885217,114179.14801521861,20447.21466792232,175510931.872661,-556490.331418732,6112.453401359933,588.2449366248053,0.8238991130375065,16.768701467548695,5.492715821228237,300.4854312746008,0.1412617496169784,0.07230884362481069,0.9930092159492774,0.9467268062864178,-0.22645183568704233,0.9791668377619539,0.07530791811778287,138.08013159571212,0.00022352124927034651,12.594560710865029,0.8997616742176503,0.0009635105216868983,276.1602631914239,7.977675805560338,1675.1745844961802,8.495353516523437,4995.048055530836,0.4445179367741244,0.6779439409794408,104.42457951410519,1783.944431213995,21040.8970365756,3.1308178339414434,62933.607724481626,0.0009554168169712982,0.0003007212809295235,0.6800673849973676,14656.027305321524,0.00022911865110976162,73.3628182356424,0.008687130637731485,1831.6961311533792,21424.767199526348,2.4718768502072233,50200.009473060985,0.0006859704829437495,0.0003253550052567276,5525.316873889876,0.6542707961977354,0.8358315381517296,18115.244231204335,0.00029170133155104487,8.169075374008365,0.7515351072350271,0.7013543350366195,101.62198833341668,0.009244821977930452,1787.2290946327828,21069.049461251205,1.0682918620045905,22419.450037213515,0.00032003843971383444,0.0003014654162748698,7.291905309560495,10527.899518505366,0.9577127525939784,0.9782244097452785,0.023208719524986585,0.9836992269425596,20746.605220801,0.0002972112474171555,0.019037163121837373,0.0011888068571279612,256229.43822987215,0.5643106314545889,32.55586997961295,0.9000610078709681,0.5322993381300248,17.714278243983134,33.278790663564685,38.07886552931954,36.68787265568828,35.22782990761707,39.0,11194.708333333334,29.952941865374996,0.6148783786676055,3935.833861758348,0.3515798486718068,11237.0
7997878,1265.7756859787983,1460.9737163559844,1176222538.6544268,5.200509870546239,98.4934298658427,3.054025213606627,1544.1089450216293,1370.861520312284,59.54185764307833,1376.6125285536687,1127.763555123295,416.34538989833436,40.613126150095894,1372.9428309563373,-0.4776328387256457,1176222538.6544268,0.03185096153846154,5710.709201495612,1047.0797960584546,252480.22617205413,-2452.2979608542637,286.48175464069084,41.91245180920274,0.7434546730749807,4.779878653883807,3.651108727675297,18.171322147784757,0.29045021899966716,0.1967728351636654,0.9865488431254108,0.9232139636317231,-0.3058208197962076,0.9768620175749401,0.21100157357232371,31.399482521815255,0.002989832837274837,8.69930867375726,0.79610884340987,0.009308048445652434,62.798965043630496,5.941269426734288,82.0985516124734,7.009568971307286,152.3653846153846,0.24417529585798817,1.5185733070348455,19.875,89.72370151216306,1104.7179487179487,7.083333333333333,7340.61858974359,0.012937874460776476,0.003638167318608475,0.40864604228443513,469.0601448757922,0.0026837821311580423,8.887043189368772,0.02952506042979658,103.40194920585867,1155.4451827242524,8.92358803986711,9183.521594684385,0.017392139165508635,0.005810062330760466,127.06644518272425,0.4221476584143663,0.6754138150661397,785.6017879978681,0.0052689325585103105,6.541021933625777,0.4823717948717949,4.625887131488615,18.70873238730586,0.031634576544005026,90.62460154201882,1108.2221563859198,1.1792276550709522,1294.4081725043727,0.004031814146833979,0.0037529063944238567,5.446061859568642,535.4601224334602,0.9048695557672388,0.9477317554240631,0.0646737127777166,0.9617161191046844,1068.2694815675777,0.003691994083223826,0.033490200512197824,0.018970522509742672,2943.319927634541,0.2183607563599392,17.09932958806314,0.9380060211487289,0.8001033210599322,8.745957990311155,10.9310357301417,13.892443989449804,12.529964086141668,13.152946437965905,14.212670403551895,609.2916666666666,10.253377332264806,0.762154234332229,456.0279028614948,0.7484558345535031,624.0
7633496,1122.5791823166546,1373.931944186572,2267415377.7133083,5.551390785240618,119.99822217778319,4.467427138870862,1486.4130464588745,1259.7940007040522,77.76146012204325,1272.6814373809602,871.7775994768568,614.6354469820177,49.6633460722621,1264.0793772949553,-1.0635868478575974,2267415377.7133083,0.026144229054893293,10815.747892480575,2678.905449254811,1285614.5046472247,-12973.122476400475,539.3697056134439,51.20357416169649,0.8239698610178117,5.407263154826361,3.8524129575406647,20.726514495138115,0.2750948062262832,0.18441787687256406,0.9918447025749948,0.9379364873508874,-0.27530824841860324,0.973502485871899,0.19234293371300162,50.564855098399775,0.0018929052769610338,9.43573480994577,0.8657967606938345,0.006781038588142486,101.12971019679958,6.331159460321974,147.643319943785,7.499201731487997,343.645525017618,0.24217443623510784,1.9640974373262097,37.09866102889359,169.0434359823219,2665.943622269204,7.851303735024665,22120.715997181112,0.005074162117364156,0.0019191746232747166,0.40203012228276774,996.7385163344712,0.001575637918231925,14.646017699115044,0.021601796016393872,232.4103536342357,2507.7566371681414,11.222713864306785,31639.96755162242,0.007858858202696396,0.0034268920719203494,279.7699115044248,0.4126399874696531,0.666964127609854,1607.101308430328,0.003187753813990248,7.267525041484956,0.47780126849894294,6.842398256193386,34.54578393458649,0.025757903121484387,173.15824064278084,2656.3843903926254,1.187111427302549,3186.1372159943776,0.0020942768034966286,0.0020020503664446164,5.841162319825628,1206.848884586684,0.8993738928530479,0.9451401311866429,0.06665055699601213,0.9594783008726296,2541.7662585115013,0.001981524741628812,0.01877140242330393,0.012061838435478705,6338.323894479037,0.16156241702063975,29.96610667850208,0.8764582012092239,0.621727942723741,10.02013789206533,16.11659570610241,18.027756377319946,18.601075237738275,18.788294228055936,20.73644135332772,1399.75,14.12552248218682,0.7183210117807811,842.4275056522628,0.6018414042880963,1419.0
4139486,2024.7469482421875,2623.4678955078125,17780312214.39673,6.836190475321023,331.52435302734375,2.727796961959835,3201.016845703125,2318.453045855512,185.59712549416454,2318.2421875,1573.0645751953125,1627.9522705078125,133.81893963072838,2329.6879041816596,-0.020113204193655376,17780312214.39673,0.009952128999748046,52221.20505363263,9425.981912384914,16370181.083861938,-2745.0502502491518,2583.4327983596568,470.7357492120202,0.6913303567391177,16.10527864643292,5.365293824587093,198.2332939352412,0.1407188958858751,0.07215846493805596,0.9893117688707768,0.9308358985458837,-0.2856286287701775,0.9889471766657495,0.0764441621487727,94.32772214582876,0.00037146699435922493,11.638716376602742,0.7695809461550481,0.0017390778052892009,188.6554442916581,7.606326623665369,763.5421368929184,8.02658714558684,1572.5457875457876,0.4800200816684333,0.7028423685932843,32.6031746031746,816.3601225883735,9710.588827838828,2.9896214896214897,28178.964285714286,0.0008712035228704482,0.0005104884551721509,0.7129074537833041,7033.830768780421,0.0004487907150043903,24.326282804543673,0.009528508736601517,873.9771963247158,9813.742655699178,2.2773207990599293,21740.863689776732,0.0008293707227712612,0.0005970651533319422,1760.1241676459067,0.6894336731868025,0.8560439874364055,8475.459579574717,0.0005630561542919707,7.66893608704765,0.7793040293040293,0.6307282094335689,31.832825458761988,0.009912310456915308,820.900541791121,9718.712972506999,1.0655380503945386,10329.009010946414,0.0005295229686210999,0.0005168246757903675,6.947897286944562,3094.960031135037,0.9636016708807733,0.9802996149149994,0.024612407204988404,0.9859069993533061,9587.67321789751,0.0005140074180006363,0.020417877507929033,0.003296549378482911,114031.06266039239,0.6559972052470285,29.83132231465141,0.6574204485298015,0.372349024088527,10.189355012875483,27.36506437157449,27.65863337187866,29.966648127543394,21.095023109728988,31.016124838541646,3232.0833333333335,17.990352893207394,0.590906437308087,1789.0415887116558,0.5535258235023816,3276.0
8723135,416.6925811767578,526.9309631347656,517763240.45625305,4.475725421223201,61.071083068847656,3.1953582528574103,623.694091796875,470.9842618317468,35.05448526284628,468.1253662109375,311.0322265625,312.661865234375,24.805375175659982,473.0248204379189,0.1604617495757436,517763240.45625305,0.05226911610138281,1926.3058571299996,475.86134670966044,25742.480827709795,119.76663947141695,96.20049054886141,11.751243568419826,0.7802414157216891,2.525710161517753,2.857989347465213,5.068226408929116,0.4179238774635612,0.33857808286314567,0.9929076883515583,0.9431851637965608,-0.2171551248969718,0.9093233694860966,0.3334324684735853,21.324742839126618,0.0061290350406433365,7.833276833874932,0.8241467891525394,0.017218038312199226,42.649485678253235,5.2841699975314445,26.98793352932032,7.337942068959396,303.8617113223855,0.13131448198893064,5.321955195125832,120.95073465859983,30.079301781124105,486.62359550561797,22.40449438202247,10092.58988764045,0.061720102742041386,0.0033916163132648837,0.19271833044386286,105.77518526085746,0.0011699149607579502,17.989154013015185,0.03902202605860127,52.91599418410416,547.5683297180043,188.53796095444685,87241.94577006508,0.4704254578611316,0.0061260380328613225,160.8524945770065,0.3489208125314675,0.6130217183085216,360.8471023057066,0.004867607579655415,6.678769026843914,0.19922212618841834,163.34235204991506,104.44294873111022,0.05129569773131686,31.156908171517525,490.51308519135785,1.5030179307037483,717.5671230617804,0.0048684201177689075,0.0034862639392712084,5.062254536071535,1621.7926122508507,0.7941679023869583,0.8794960441460009,0.19724946284092315,0.9109268695331993,449.04216538013037,0.003246021048149768,0.17079795215380075,0.005991145089573497,1088.3903300008146,0.06243034567012678,3.5039817763980996,0.7385422068710599,0.6293559328668517,12.644952677604623,20.091893978029482,21.470910553583888,23.600847442411894,18.027756377319946,24.06241883103193,2291.6666666666665,14.83871171875325,0.6568246126875729,1279.7810384688632,0.558449907695504,2314.0
7728618,1114.0953633645076,1312.149025091932,7944144580.013622,5.408719433088293,104.08004607516887,5.738370194856548,1574.1474822491791,1207.1589465107584,65.36637680935083,1204.6196565279588,720.3100210878098,853.8374611613693,42.98738998870154,1210.3299148068302,-0.23434582557740263,7944144580.013622,0.02927780879065674,7665.780535345044,3809.6665485568165,773228.727445767,-1904.655923124919,383.3175249210065,67.68467388210141,0.6997206745663461,5.797167183325931,3.9845877280036315,32.69961186117297,0.2738345280142839,0.18426659076425786,0.9943244993288709,0.9508895146712695,-0.16899268327708594,0.9034294768360572,0.1908396225725559,61.07989644369961,0.0016485596107235197,9.826304812248553,0.7972192985193106,0.004699672332112751,122.1597928873992,6.2437742804794505,112.75054970077684,7.609262808355098,1233.604462474645,0.22747638990865665,2.150495653887974,158.77355707173152,119.82704008024228,3888.9673612391666,8.486999815600221,31586.454361054766,0.002996820645215182,0.0007498344399578688,0.3935977399390218,1600.3594557108809,0.0005557321397113168,62.393058918482645,0.025178796980824314,165.48056879555423,4054.598466505246,14.123083131557708,51174.83292978208,0.005208239071752856,0.0012695977698809447,1071.3922518159807,0.43236168354155796,0.6839286615060458,2826.5806151622423,0.001158153692644947,7.348360753556181,0.456942651668818,9.333732813244037,147.91072653854332,0.028962814113111343,122.59338978583683,3899.1522665475954,1.2084326068041298,4672.610329015026,0.000841142662901388,0.000777564943736568,5.740140465567804,4572.336082646852,0.8948692616718995,0.9416445623342174,0.07887275038439999,0.9576018694343512,3740.5611851860594,0.0007645197375526537,0.05396180633780637,0.0023128832413869087,14374.788702373886,0.08775444878537941,10.341702218790287,0.7966877917952028,0.45975626466172537,13.584895911312907,29.548038722883437,31.016124838541646,30.59411708155671,32.449961479175904,36.932370625238775,5387.791666666667,23.54056172201315,0.5987674610077659,2482.179184510156,0.460704373531547,5423.0
8538236,1028.1429931640625,1374.8294189453125,6910457027.543545,6.246931770998327,169.61334228515625,10.365667052014778,1824.4940185546875,1190.0304988674104,119.08143983382794,1198.041015625,92.38668823242188,1732.1073303222656,70.7365412697601,1203.1289526983462,-1.6282213774596443,6910457027.543545,0.01719129013478785,31346.688586401087,19589.50915883503,22877049.76933942,-88009.0253966506,1402.1639095544317,283.9183246635616,0.660458415335013,11.937484829857206,4.993336164146829,138.48718056566094,0.17068526307035542,0.09278445549626722,0.9942836038907396,0.9503457238195705,-0.18534726453841943,0.9458516032800612,0.09718733562961218,138.95998259595592,0.0005852793466526381,11.18463115056319,0.9271131079631934,0.0022653374091639454,277.9199651919121,6.981923394616383,421.52055855449805,7.7359226386250945,1854.4289903644742,0.3884434416347872,0.8971037611387896,82.07121910347716,490.3308949959186,19605.102010892333,3.821533305404273,74209.77733556766,0.000493539045640445,0.00031722116311146706,0.6219752320178176,12196.408813826274,0.00029063931711915535,50.50420673076923,0.01517554288785133,599.4561947252623,19621.651141826922,3.2938701923076925,63998.35667067308,0.0005663747123601645,0.000425791216587383,2012.1856971153845,0.6046231061043824,0.8057228876368419,15791.569841385322,0.00041078802574663804,7.471961396600763,0.6971093422706326,1.2360937355538093,79.06271687233107,0.0170258410760836,498.01549381942374,19608.98652150704,1.086666936051563,21294.875497633337,0.00032994767643538,0.0003243052285438156,6.425121478135939,4399.445092314216,0.9473290329944513,0.9726886017208597,0.02955373526896391,0.9795501808988962,19210.524808300346,0.0003229599905183143,0.013854490245291083,0.0020950994248966175,118306.69230062726,0.23673552969582065,42.56622086882562,0.5034824071881199,0.42400591656357733,13.627547221724928,32.139993074086156,34.66987164671943,31.016124838541646,20.12461179749811,35.566838487557476,4728.583333333333,16.1819210799504,0.6979667965641382,1951.956160834785,0.41279935727785666,4774.0
8634215,1000.5880187988282,1340.9253784179687,3618486482.022229,6.0811736169646124,167.31137084960938,3.9364934210842595,1701.3267822265625,1167.240797668923,104.5456538522975,1166.9059448242188,599.1011352539062,1102.2256469726562,69.8415369319788,1175.2028381073233,-0.06703315095193411,3618486482.022229,0.017979721461453307,18650.630952723863,5362.845796401234,2396062.0777080823,177.31164723479048,814.7042938998723,154.27101565457994,0.6788269514585499,9.259685645053615,4.635421108252963,66.59594462954814,0.19710096353947693,0.11324623854829602,0.992288317532429,0.9402454274547931,-0.21534630472575642,0.9594011326543982,0.11798619441014085,72.0951817946044,0.0008198700776940569,10.632667060495873,0.7676605179563784,0.0032319953091754393,144.190363589209,6.7935136192854735,242.2438273886134,7.682402119230252,887.5839694656488,0.338772507429637,0.9983771341996388,47.10687022900763,291.4998420837946,5532.928244274809,4.453435114503817,24063.203053435114,0.0015492926686977108,0.0008171541900419195,0.5561521914109157,3145.4315621613787,0.0007204195205187801,26.225149700598802,0.015703682455448384,359.1805959338807,5627.680239520958,4.08502994011976,22197.02275449102,0.0018039690581812845,0.0011590673113594544,898.5077844311377,0.538028613431819,0.7620629546740444,4340.80746761039,0.0011060234629817972,7.4438031293264215,0.6374045801526718,1.6237011007924271,45.10161672753641,0.017802195579364584,295.8187045875886,5538.638279267237,1.10536747326015,6104.501336671707,0.0008603259894616343,0.0008377836607424001,6.280078766928605,2372.4262006542644,0.9363149322359718,0.9669700528479156,0.03566708731173084,0.9751168407228761,5405.199186273518,0.0008324332399016786,0.02095852120348653,0.004837852798971016,33074.25378359559,0.23844820889493495,25.20480232492447,0.7717947028989586,0.6518252383867559,13.005103554862464,19.951825717963345,23.021728866442675,22.47220505424423,21.213203435596427,24.124676163629637,2599.0833333333335,15.39871340228732,0.7205121423561233,1268.7896382433296,0.4881681252659577,2620.0
8792727,1309.9289306640626,1880.3319580078125,3988577705.4836392,6.737898511405939,264.5130615234375,5.207236563902902,2478.224853515625,1553.8999289614392,180.16275843490348,1524.8462524414062,230.36163330078125,2247.8632202148438,113.00534263914886,1572.991985841272,0.25303788346290573,3988577705.4836392,0.011887426189435316,59698.79829450257,27649.743455180833,41462775.92687083,53407.68004692865,2778.758763691149,528.641678786256,0.6785934059194241,16.907161801858894,5.427812615007076,235.40060272542456,0.13364080408750123,0.06678712807178469,0.9935947698663692,0.9457747937183838,-0.38448862660095356,0.9969126349475397,0.06926300908857465,164.5805076652817,0.0006668307105930029,10.727369449231414,0.9310706980096897,0.002590036775623585,329.16101533056343,7.367250033129215,826.8501106193513,7.750624916527887,831.4193548387096,0.5157688305451053,0.49331163913329923,19.162531017369727,934.0306587073376,28734.83498759305,2.5397022332506203,70115.49379652606,0.0007257600334720278,0.0006634286621286725,0.7410988764819411,21640.261212606834,0.0006528735368496302,14.297380585516178,0.011014931113648829,1010.3268564177199,29089.80970724191,1.9815100154083205,55530.22342064715,0.0008537300017312693,0.0008140843052813602,922.442218798151,0.7106642671788529,0.8679606915313635,25432.535316330242,0.0008086727769025285,7.483348301258898,0.8052109181141439,0.4391679981766425,18.724445570975618,0.011811256724665688,940.1168621906528,28762.588662990536,1.0513019011599272,30151.98705656111,0.0006760190761299782,0.0006739379927767163,6.829569179870675,1533.9507614305212,0.9675379034658135,0.9834414964687916,0.01723347168973745,0.9875533571127713,28425.295726391563,0.000673432341127089,0.006081073339644143,0.005764515690407545,135650.50399096636,0.7260054736570578,79.61892536648142,0.8113939095165514,0.47034645892104104,9.90477483849017,21.058465840715353,20.808652046684813,25.059928172283335,23.40939982143925,25.573423705088842,1587.5416666666667,17.086710926918784,0.49101314032106,1340.3177370571175,0.8442724781336662,1612.0
